Country,State/Region,Township_MIMU Name,Township_Google Name,Latlong
Myanmar,Ayeyarwady,Bogale,Bogale,"16.286433949781955, 95.40180821860959"
Myanmar,Ayeyarwady,Danubyu,Danubyu,"17.257222913586297, 95.5853597589138"
Myanmar,Ayeyarwady,Dedaye,Dedaye,"16.408414408255883, 95.88551421435963"
Myanmar,Ayeyarwady,Einme,Einme,"16.891294719224422, 95.17709809065103"
Myanmar,Ayeyarwady,Hinthada,Hinthada,"17.64699562268645, 95.45157195839066"
Myanmar,Ayeyarwady,Ingapu,Ingapu,"17.814205005230903, 95.27105561820487"
Myanmar,Ayeyarwady,Kangyidaunt,Kangyidaunt,"16.93493406052002, 94.8974544089897"
Myanmar,Ayeyarwady,Kyaiklat,Kyaiklat,"16.44224851945981, 95.72208391438437"
Myanmar,Ayeyarwady,Kyangin,Kyangin,"18.335073402718894, 95.2397194138693"
Myanmar,Ayeyarwady,Kyaunggon,Kyaunggon,"17.100174679201224, 95.17970524797504"
Myanmar,Ayeyarwady,Kyonpyaw,Kyonpyaw,"17.303075820288576, 95.1927468182615"
Myanmar,Ayeyarwady,Labutta,Labutta,"16.149328794040276, 94.75621612784316"
Myanmar,Ayeyarwady,Lemyethna,Lemyethna,"17.598452666902162, 95.17188189963699"
Myanmar,Ayeyarwady,Maubin,Maubin,"16.726071560060223, 95.64842355457553"
Myanmar,Ayeyarwady,Mawlamyinegyun,Mawgyun,"16.38385964319355, 95.26060810523248"
Myanmar,Ayeyarwady,Myanaung,Myanaung,"18.270749912273097, 95.32070683270011"
Myanmar,Ayeyarwady,Myaungmya,Myaungmya,"16.58335554556223, 94.90394159651626"
Myanmar,Ayeyarwady,Ngapudaw,Ngapudaw,"16.53821490350849, 94.69413370323599"
Myanmar,Ayeyarwady,Nyaungdon,Nyaungdon,"17.043708555122603, 95.6431660321564"
Myanmar,Ayeyarwady,Pantanaw,Pantanaw,"16.983706718665196, 95.46991719162017"
Myanmar,Ayeyarwady,Pathein,Pathein,"16.775362465112263, 94.73810132057349"
Myanmar,Ayeyarwady,Pyapon,Pyapon,"16.285033829149736, 95.67998185811378"
Myanmar,Ayeyarwady,Thabaung,Thabaung,"17.041688489296398, 94.80282314437419"
Myanmar,Ayeyarwady,Wakema,Wakema,"16.60320533182198, 95.17709772968055"
Myanmar,Ayeyarwady,Yegyi,Yegyi,"17.34057624273033, 95.10933564386727"
Myanmar,Ayeyarwady,Zalun,Zalun,"17.478974189809417, 95.55647722500505"
Myanmar,Bago,Bago,Bago,"17.322072111721695, 96.4663283027295"
Myanmar,Bago,Daik-U,Daik-U,"17.78602731169389, 96.67985112102643"
Myanmar,Bago,Gyobingauk,Gyobingauk,"18.23175810532088, 95.65105336267507"
Myanmar,Bago,Htantabin,Htantabin,"18.841935084672055, 96.48631558329026"
Myanmar,Bago,Kawa,Kawa,"17.088523361614364, 96.45966839762038"
Myanmar,Bago,Kyaukkyi,Kyaukkyi,"18.328242799176536, 96.77349096729934"
Myanmar,Bago,Kyauktaga,Kyauktaga,"18.15681565595213, 96.6130488167882"
Myanmar,Bago,Letpadan,Letpadan,"17.791715165379657, 95.75631574739607"
Myanmar,Bago,Minhla,Minhla,"17.9790970349004, 95.70629278397436"
Myanmar,Bago,Monyo,Monyo,"18.011502722737053, 95.50400138317708"
